PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,class
-116555554943547.0,-666357979492.0419,-34326953.011456415,6704014.986771781,-16628069.218851436,3164466.5032569175,-111136.59200668184,-21860.576320572873,9153.879840515638,-52147.101569822174,BENIGN
-217707208799287.5,1054177157704.68,-72258640.04385073,-9726870.780936982,63290275.94593927,15958910.901587658,-175252.94374220923,-40746.81991967157,17339.814528794715,-161697.21381946822,BENIGN
24322546392438.438,-483485949949.8875,-64855100.21793829,35346006.81300181,-3864229.0669398345,-5169609.166426977,112666.67041686496,162548.5593970842,-18015.230480543374,101245.48147923895,BENIGN
-79478745162113.66,-577467087376.6509,-45883046.35915814,15805848.744290732,-3741581.735052727,-3281703.043821768,55583.49200051479,-13464.021857739448,-2149.820261473218,38093.64235276722,BENIGN
125068441220191.75,-462335785190.96625,2377459.583183959,-530537.7669997364,-3950063.3204427026,-2856613.5971515034,57593.965024102,-2528.9187904221635,-186.5020955748514,-24197.65619238122,BENIGN
300350241445603.0,-149732474088.45776,63714610.158383235,-31061724.296094883,15472782.802196126,-826302.2326707146,39611.71902904785,41519.24909185711,-12704.743117891132,152699.52944278362,BENIGN
-177537862910444.4,-707919427100.1211,-45401336.12001256,9495377.784682266,-26049831.995942187,2741334.3553369404,-121188.55142178405,-11142.599903606555,9043.529259229112,-72789.75261707968,BENIGN
-138435987187982.81,-691053169658.6185,-38563941.63644561,8078805.729807742,-26740167.06959098,1134684.7463499564,-92117.54677286756,-19604.515013133558,8236.234030936303,-45029.27258845976,BENIGN
-76875479548570.47,-623515362941.9452,-27888772.364873484,5034288.559822138,-10627567.94886076,-1671867.686446766,19476.83134076789,-15080.32601862104,735.9040695873773,-51370.691249109004,BENIGN
-202441583383341.9,-726353512915.0565,-56939637.546038754,15212819.914982487,-28500886.62186256,-1943691.9022050246,-23770.06949970891,-30116.709063371636,6505.134560015853,-63510.570050961556,BENIGN
-7783596536806.75,-620091451038.7537,-3579792.7329559624,-5045902.458693404,-23089144.829660688,1890247.7609066232,-89686.99202769044,-26784.958383710567,11927.014776474938,-105087.86057560076,BENIGN
96410344183165.88,-563825051809.2153,22439756.67034273,-14219127.638508502,-21316865.895419806,1514588.3006392247,-75149.24784727681,-29538.986911967288,12135.848012697246,-115275.98214039367,BENIGN
-50942063920541.25,-617938830680.8411,-9444152.989046797,-4852324.155145679,-14960833.727654677,-2098199.111003401,16029.817670330649,-27010.140905853397,6299.274014531293,-65791.82712589474,BENIGN
185352579260989.56,-343691366206.08905,65156321.01274188,-37921426.638369545,7274879.445670191,2131340.5910483985,-68282.364158559,15547.365892196325,-10200.550472248797,219088.61399407475,BENIGN
-118687510855831.47,-604337592288.9738,-61501578.06191668,23068307.5388963,-7560447.515533339,-896279.4061688855,-2321.4982635531733,-8791.015267524635,351.05060387924823,12.142410386884876,BENIGN
-248323176200546.56,-716245522108.8882,-59832756.11382396,13088363.069073625,-13168697.24785959,-1232846.178892882,-3641.0447914659,-14008.200960992548,695.6797536805134,-46010.71753965806,BENIGN
128194702738776.06,-520768511265.0921,21535884.907326132,-11404021.021071855,-15192259.799605768,8644929.813749187,-244778.75765131676,24760.008450236957,3953.1691991395965,62312.36177646925,BENIGN
96260626403935.19,443062557033.5856,237616011.04934973,-172509764.349478,47713336.56345257,-3902643.8872288624,198796.87351286953,-101063.74592265676,5206.900107005822,-9779.643121997873,BENIGN
-49745274354271.69,-399328968655.579,-23166824.984939143,-132377.25726799667,16640579.915722605,-4341412.886790115,172061.72469484972,-8614.674291956007,3442.0134099474744,-163778.15233607023,BENIGN
-8821822861900.812,-555494525039.806,25546286.88401495,-25188276.40137178,-6565432.966904651,10451978.15445382,-233570.67598947062,12589.433367039877,13891.16155487004,-106927.58615844382,BENIGN
-207478259074070.88,-716410358777.4263,-53015584.80310487,12054904.990853619,-18720960.342113815,442860.0009032809,-52019.94335356761,-27200.823916873935,6768.960102282192,-72639.41078636018,BENIGN
-160381344913103.53,-530531117123.72107,-71331126.27772973,24279695.358666003,12263944.763640452,-1044398.4821372209,71295.30752290586,-55357.41491208939,7336.145263281633,-128351.12603250577,BENIGN
-133905543078430.28,-623394869001.0073,-17100236.93147464,-6891418.891300309,-4407904.886732861,946431.8682564548,-10759.42471055035,-37164.97525966104,6190.425496931384,-93544.58209517458,BENIGN
78185589862636.06,-514268245495.7739,53527138.6380869,-36764842.71010266,-10415749.326144066,-275422.0090061957,-8656.808625086356,-17963.98400978123,5581.298609657682,-69431.14689146797,BENIGN
-38532199166140.94,-525922131326.99567,23878741.900486797,-27169440.536865335,-4761210.528308183,5931229.115734786,-120634.69746823145,17109.137442598774,7896.823419066808,-84374.80678342325,BENIGN
530727047026578.5,-326563651271.15607,138493723.84401917,-57386291.87688668,-16563196.931615302,-836798.8558604899,3104.233847053414,-4089.1090449709063,8258.63061740969,-147909.26655989778,BENIGN
-226003543807790.62,5862252254830.486,1380283559.8267353,-1042421369.0482343,43651932.21584922,-8085129.968772968,227492.09787203872,-578297.7001259043,69501.4703084835,-215398.21968098247,BENIGN
230291667801180.25,-496093816370.41705,57547604.60823406,-27056963.494411286,-22266543.146603443,1555058.6569774714,-68861.36469280384,-34341.80311107784,12332.118299419886,-133037.84073223113,BENIGN
-196831758823196.34,-723151966373.1421,-55169296.06377977,14491367.490715917,-26493840.659561757,-924606.3420878476,-42241.91335844323,-32515.273877163854,9083.284487271827,-58517.916120538735,BENIGN
-210472647542099.97,-730636191314.3916,-59883144.41430282,16557256.437758155,-26940014.10230731,-698398.9933054931,-50269.12312554117,-31151.10157034943,8758.071581069038,-49428.2506674606,BENIGN
-178003416341699.75,-685587266668.2609,-34770185.758216046,2163704.9521465637,-16486972.332182126,4787688.255044805,-143189.94845824264,-6660.568138340825,9469.860409573914,-69758.81551532184,BENIGN
-155856088044120.4,-688086123139.5874,-38730690.515892655,6593437.657927584,-19363937.4291944,3091054.9385935455,-108381.93598732594,-15705.422973030818,10501.830633991547,-90622.75304935861,BENIGN
-192952186924974.1,3349245376899.5186,441326128.8788193,-383992986.4082392,58790094.58609179,11230266.658121321,-91127.0359308292,-185006.9328086617,42835.63808647772,-271703.93995412125,BENIGN
-6793483753742.5,-509697368761.4183,-17583085.090386882,2073099.2240909152,2726667.5080014355,-5483252.101185084,143139.3558117771,-27517.677613876032,1378.34149986591,-80909.34899982289,BENIGN
27960765828006.438,3137169668266.4272,-564476624.5754272,292025361.1325937,35910326.61912811,-7021562.199938765,218067.2860209979,216623.5645956029,-53487.30366229694,414836.4089498906,BENIGN
27063280065560.625,-366256011068.88904,-88030612.21024315,48295606.01241853,1764810.8706823252,3457920.4927933435,-94667.47211340554,14203.197779886239,-3870.9790323976813,114489.16422071477,BENIGN
-78103814385787.19,-359582820215.546,-131666076.27382192,67610820.52584529,17641511.90169933,-381549.55739763705,26426.131790455805,-18242.980276769464,-9718.969297334716,140602.82128216248,BENIGN
-122667960611671.5,919097502068.3905,-129992684.786655,39340742.566219375,42550315.01090717,5008923.895826746,-78577.21262844696,34929.280516031,-25267.73474999587,440093.2995708006,BENIGN
-77029174158204.38,-558950448854.4679,-52557939.43192843,19937399.94750671,-2139500.916915156,1135163.892921953,-38420.880128183446,-24101.35499212756,2650.3162899663585,10459.79916657471,BENIGN
163481701613243.06,-511155344214.08716,42794337.669694796,-22692521.21738201,-15064695.666290123,4184131.523821756,-124515.84655074163,-22198.350486254883,11583.112021446464,-85314.49940092585,BENIGN
-78246185070523.31,-396246089896.6003,-65087398.15724477,25411184.30873107,7983052.248827059,11769304.639684495,-284939.19310705917,50763.22922175393,-10275.695110108609,273576.02608806366,BENIGN
179387473346252.56,-271596761468.63104,-4958618.461764291,6012989.219058532,-5478058.677878957,-399717.6446944978,-20126.788212524432,248887.09398165706,-32652.38833669643,307045.2386830653,BENIGN
451138586739029.75,-362121446542.2491,104608025.34775434,-40990291.81393282,-17581179.583109993,4462.387634887826,-28609.46394249102,142362.13191633046,-9779.27329407625,30492.475737287663,BENIGN
-200302070228839.12,-707171867243.6473,-71145983.70857769,24409566.548434548,-19230800.700719666,-1584702.1324219247,-20704.986422708367,-17163.161841210414,3200.59731790558,19773.028851410454,BENIGN
-250955938499191.8,224622281959.5016,-248771191.4200878,117972630.59002067,42454380.117697075,-1561693.7864659368,120141.27855209078,-27763.060256971563,-13908.177658324485,132025.8129591299,BENIGN
81079406728492.25,-410190924460.7816,41101095.17580582,-30349906.025794763,10159445.740861092,9678378.68593936,-184923.00904679619,-11563.163372469638,10342.919646836712,-43401.04726680489,BENIGN
198731113440927.0,-476869887929.9803,43657471.1462902,-20847292.136668514,-9170050.21180426,4797921.567038134,-128966.14204985999,-14072.280462798797,8338.905679726304,-42229.1905611003,BENIGN
